image_path,user_label,wikimedia_label,Entities_score,Operations_score,Resources_score
hackathon/data/1711581529939.jpg,"bolts, nuts, washers, steel plates",Nuts (hardware),0.030659327,0.51162124,0.45771945
hackathon/data/1711596261925.jpg,nail,Metal nails in Germany,0.4729801,0.16531432,0.36170557
hackathon/data/1711569252696.jpg,anvil,Anvils,0.35161465,0.12230815,0.5260772
hackathon/data/1711600438090.jpg,scissors,Tesoura (1-06-04-000-09109-00-00),0.15919574,0.13838765,0.7024166
hackathon/data/1711602450293.jpg,"anvil, power hammers, furnace, metalworking tongs, bench vice grip, two-horned anvil",Interior of Frohnauer Hammer,0.010002965,0.61373174,0.3762653
hackathon/data/1711592871168.jpg,"hex nut, washer, hex bolt",DIN 6914,0.23288114,0.25433624,0.5127826
hackathon/data/1711598145418.jpg,"tool, power tool, drill, power drill",Bosch cordless screwdrivers,0.13464142,0.22820735,0.63715124
hackathon/data/1711598090944.jpg,"power drill, pen, tape measure",Black & Decker - 18V multi tool plus,0.027780527,0.1735361,0.79868335
hackathon/data/1711596585733.jpg,wood clothes pin,Wooden clothes pegs,0.12651058,0.073206976,0.8002825
hackathon/data/1711554698249.jpg,Tin Snips,Snips,0.16427141,0.27609006,0.5596385
hackathon/data/1711581096072.jpg,rail,Pandrol rail fastenings,0.26995787,0.23217468,0.49786752
hackathon/data/1711587685589.jpg,concrete saw,Concrete saws,0.0037101,0.8652929,0.130997
hackathon/data/1711573531742.jpg,washers,Washers (hardware),0.048471116,0.60428905,0.3472398
hackathon/data/1711575041062.JPG,milling machine,Computer numerical control,0.028363386,0.6745709,0.29706568
hackathon/data/1711599081569.jpg,worx rotary cutter,Handheld circular saws,0.05053999,0.3756273,0.5738327
hackathon/data/1711567835402.jpg,"benchtop polisher, benchtop grinder, polishing wheel",Machine tools,0.05869488,0.45679656,0.48450857
hackathon/data/1711571040376.jpg,"solder gun stand, solder gun holder",Soldering iron stands,0.03897115,0.5679039,0.393125
hackathon/data/1711583181571.jpg,"Hooks, Hook, fishing hook",Fishing hooks,0.16049042,0.14066285,0.6988467
hackathon/data/1711584432849.jpg,zipper,RiRi,0.25458875,0.18146844,0.5639428
hackathon/data/1711587653697.JPG,"bar clamp, tape measure, tape, power saw",Circular saws,0.03207211,0.28989014,0.6780377
hackathon/data/1711619523848.jpg,clamp,Screw clamps in Germany,0.06486797,0.5660522,0.36907983
hackathon/data/1711579567102.jpg,oscilloscope,Electronics workbenches,0.35672417,0.29865798,0.3446178
hackathon/data/1711603530488.JPG,bell,Church bells in Lohmen (Mecklenburg),0.18544573,0.4080586,0.4064957
